<big class="word">anti-Semitic</big>	<small class="ipa">ˌantɪsɪˈmɪtɪk</small>	Much has been made recently of Orwell’s own attitude toward Jews, some commentators even going so far as to call it <b>anti-Semitic</b>. 	Hostile to or prejudiced against Jews.
<big class="word">overt</big>	<small class="ipa">əʊˈvəːt</small>	If one looks in his writing of the time for <b>overt</b> references to the topic, one finds relatively little – Jewish matters did not seem to command much of his attention. 	Done or shown openly; plainly apparent.
<big class="word">reticence</big>	<small class="ipa">ˈrɛtɪs(ə)ns</small>	There is some felt <b>reticence</b>, as if, with so many other deep issues to worry about, Orwell would have preferred that the world not be presented the added inconvenience of having to think much about the Holocaust. 	The quality of being reticent; reserve.
<big class="word">nationalism</big>	<small class="ipa">ˈnaʃ(ə)n(ə)lɪz(ə)m</small>	‘Nor is there any racial discrimination,’ as Emmanuel Goldstein himself confirms, in the book – ‘Jews, Negroes, South Americans of pure Indian blood are to be found in the highest ranks of the Party …’ As nearly as one can tell, Orwell considered anti-Semitism ‘one variant of the great modern disease of <b>nationalism</b>’, and British anti-Semitism in particular as another form of British stupidity. 	Identification with one's own nation and support for its interests, especially to the exclusion or detriment of the interests of other nations.
<big class="word">bourgeois</big>	<small class="ipa">ˈbʊəʒwɑː</small>	His own artistic judgements were not those of Winston Smith, a <b>bourgeois</b> of the late forties projected into the future. 	Belonging to or characteristic of the middle class, typically with reference to its perceived materialistic values or conventional attitudes.
<big class="word">apologist</big>	<small class="ipa">əˈpɒlədʒɪst</small>	But somewhere among his own terrors may have lurked the possibility that like Galsworthy he might one day lose his political anger, and end up as one more <b>apologist</b> for Things As They Are. 	A person who offers an argument in defence of something controversial.
<big class="word">slaloms</big>	<small class="ipa">ˈslɑːləm</small>	PHOTO: AGENCE FRANCE-PRESSE Published 1 hour ago SHANGHAI • Ms Chen Jiuxiao puts on virtual reality goggles and is immediately transported to a snow-covered ski slope, down which she <b>slaloms</b> without ever leaving Shanghai. 	A ski race down a winding course marked out by poles.
<big class="word">neonatal</big>	<small class="ipa">ˌniːə(ʊ)ˈneɪt(ə)l</small>	Over the past five years, it has hit a <b>neonatal</b> unit in Venezuela, swept through a hospital in Spain, forced a prestigious British medical centre to shut down its intensive care unit, and taken root in India, Pakistan and South Africa. 	Relating to newborn children (or other mammals)
<big class="word">tenacious</big>	<small class="ipa">tɪˈneɪʃəs</small>	C. auris is so <b>tenacious</b>, in part, because it is impervious to major anti-fungal medications. 	Tending to keep a firm hold of something; clinging or adhering closely.
<big class="word">impervious</big>	<small class="ipa">ɪmˈpəːvɪəs</small>	C. auris is so tenacious, in part, because it is <b>impervious</b> to major anti-fungal medications. 	Not allowing fluid to pass through.
